2026-05-21 23:31:50 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 23:31:50 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 23:31:55 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 23:31:55 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 23:31:55 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 23:32:00 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-21 23:32:00 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 23:32:00 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260521_233200.png
2026-05-21 23:32:00 | INFO     | HomePage | Opening Commercial tab
2026-05-21 23:32:00 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 23:32:00 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 23:32:00 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-21 23:32:00 | INFO     | HomePage | Commercial tab opened successfully
2026-05-21 23:32:01 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260521_233200.png
2026-05-21 23:32:01 | INFO     | CommercialPage | Searching commercial property for location: Mumbai
2026-05-21 23:32:01 | INFO     | CommercialPage | Commercial search input found
2026-05-21 23:32:01 | INFO     | CommercialPage | Cleared commercial search input
2026-05-21 23:32:01 | INFO     | CommercialPage | Entered location: Mumbai
2026-05-21 23:32:02 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-21 23:32:02 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-21 23:32:03 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_Mumbai_20260521_233202.png
2026-05-21 23:32:03 | INFO     | CommercialPage | Applying commercial filters
2026-05-21 23:32:03 | INFO     | CommercialPage | Trying to click: Verified filter selected
2026-05-21 23:32:03 | INFO     | CommercialPage | Verified filter selected
2026-05-21 23:32:05 | INFO     | CommercialPage | Trying to click: Budget minimum dropdown opened
2026-05-21 23:32:06 | INFO     | CommercialPage | Budget minimum dropdown opened
2026-05-21 23:32:09 | INFO     | CommercialPage | Trying to click: Minimum budget 10 Lac selected
2026-05-21 23:32:10 | INFO     | CommercialPage | Minimum budget 10 Lac selected
2026-05-21 23:32:12 | INFO     | CommercialPage | Trying to click: Residential Apartment selected
2026-05-21 23:32:12 | INFO     | CommercialPage | Residential Apartment selected
2026-05-21 23:32:14 | INFO     | CommercialPage | Trying to click: Independent House/Villa selected
2026-05-21 23:32:14 | INFO     | CommercialPage | Independent House/Villa selected
2026-05-21 23:32:16 | INFO     | CommercialPage | Trying to click: 2 BHK selected
2026-05-21 23:32:22 | INFO     | CommercialPage | 2 BHK selected skipped. Error: Message: 

2026-05-21 23:32:22 | INFO     | CommercialPage | Trying to click: 3 BHK selected
2026-05-21 23:32:27 | INFO     | CommercialPage | 3 BHK selected skipped. Error: Message: 

2026-05-21 23:32:27 | INFO     | CommercialPage | Trying to click: Ready to move selected
2026-05-21 23:32:30 | INFO     | CommercialPage | Ready to move selected
2026-05-21 23:32:32 | INFO     | CommercialPage | Trying to click: Under Construction selected
2026-05-21 23:32:32 | INFO     | CommercialPage | Under Construction selected
2026-05-21 23:32:35 | INFO     | CommercialPage | Trying to click: Owner selected
2026-05-21 23:32:37 | INFO     | CommercialPage | Owner selected
2026-05-21 23:32:39 | INFO     | CommercialPage | Trying to click: Central Noida selected
2026-05-21 23:32:46 | INFO     | CommercialPage | Central Noida selected skipped. Error: Message: 

2026-05-21 23:32:46 | INFO     | CommercialPage | Trying to click: Sector 150 selected
2026-05-21 23:32:53 | INFO     | CommercialPage | Sector 150 selected skipped. Error: Message: 

2026-05-21 23:32:53 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/mumbai?city=12&keyword=Mumbai&property_type=C&preference=S&res_com=R
2026-05-21 23:32:53 | INFO     | CommercialPage | Commercial filters applied successfully
2026-05-21 23:32:54 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_commercial_filters_applied_Mumbai_20260521_233253.png
2026-05-21 23:32:54 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-21 23:32:54 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 23:33:03 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 23:33:03 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 23:33:03 | INFO     | CommercialPage | Validating location in results: Mumbai
2026-05-21 23:33:03 | INFO     | CommercialPage | Location found in results: Mumbai
2026-05-21 23:33:03 | INFO     | commercial_test | Commercial search successful for Mumbai
