2026-05-20 16:56:47 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 16:56:47 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 16:56:49 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 16:56:49 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 16:56:49 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 16:56:54 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 16:56:54 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 16:56:54 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260520_165654.png
2026-05-20 16:56:54 | INFO     | HomePage | Opening Commercial tab
2026-05-20 16:56:54 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 16:56:54 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 16:56:54 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 16:56:54 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 16:56:54 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260520_165654.png
2026-05-20 16:56:54 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-20 16:56:54 | INFO     | CommercialPage | Commercial search input found
2026-05-20 16:56:54 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 16:56:55 | INFO     | CommercialPage | Entered location: Noida
2026-05-20 16:56:55 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 16:56:55 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 16:56:57 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260520_165655.png
2026-05-20 16:56:57 | INFO     | CommercialPage | Applying commercial filters
2026-05-20 16:56:57 | INFO     | CommercialPage | Trying to click: Verified filter selected
2026-05-20 16:56:57 | INFO     | CommercialPage | Verified filter selected
2026-05-20 16:56:59 | INFO     | CommercialPage | Trying to click: Budget minimum dropdown opened
2026-05-20 16:57:00 | INFO     | CommercialPage | Budget minimum dropdown opened
2026-05-20 16:57:03 | INFO     | CommercialPage | Trying to click: Minimum budget 10 Lac selected
2026-05-20 16:57:03 | INFO     | CommercialPage | Minimum budget 10 Lac selected
2026-05-20 16:57:05 | INFO     | CommercialPage | Trying to click: Budget maximum dropdown opened
2026-05-20 16:57:06 | INFO     | CommercialPage | Budget maximum dropdown opened
2026-05-20 16:57:08 | INFO     | CommercialPage | Trying to click: Maximum budget 50 Lac selected
2026-05-20 16:57:13 | INFO     | CommercialPage | Maximum budget 50 Lac selected skipped. Error: Message: 

2026-05-20 16:57:13 | INFO     | CommercialPage | Trying to click: Residential Apartment selected
2026-05-20 16:57:13 | INFO     | CommercialPage | Residential Apartment selected
2026-05-20 16:57:15 | INFO     | CommercialPage | Trying to click: Independent House/Villa selected
2026-05-20 16:57:16 | INFO     | CommercialPage | Independent House/Villa selected
2026-05-20 16:57:18 | INFO     | CommercialPage | Trying to click: 2 BHK selected
2026-05-20 16:57:18 | INFO     | CommercialPage | 2 BHK selected
2026-05-20 16:57:20 | INFO     | CommercialPage | Trying to click: 3 BHK selected
2026-05-20 16:57:25 | INFO     | CommercialPage | 3 BHK selected skipped. Error: Message: 

2026-05-20 16:57:25 | INFO     | CommercialPage | Trying to click: Ready to move selected
2026-05-20 16:57:26 | INFO     | CommercialPage | Ready to move selected
2026-05-20 16:57:28 | INFO     | CommercialPage | Trying to click: Under Construction selected
2026-05-20 16:57:28 | INFO     | CommercialPage | Under Construction selected
2026-05-20 16:57:30 | INFO     | CommercialPage | Trying to click: Owner selected
2026-05-20 16:57:31 | INFO     | CommercialPage | Owner selected
2026-05-20 16:57:33 | INFO     | CommercialPage | Trying to click: Central Noida selected
2026-05-20 16:57:36 | INFO     | CommercialPage | Central Noida selected
2026-05-20 16:57:38 | INFO     | CommercialPage | Trying to click: Sector 150 selected
2026-05-20 16:57:38 | INFO     | CommercialPage | Sector 150 selected
2026-05-20 16:57:40 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-20 16:57:40 | INFO     | CommercialPage | Commercial filters applied successfully
2026-05-20 16:57:40 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_commercial_filters_applied_20260520_165740.png
2026-05-20 16:57:40 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-20 16:57:40 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 16:57:50 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 16:57:50 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 16:57:50 | INFO     | CommercialPage | Validating location in results: Noida
2026-05-20 16:57:50 | INFO     | CommercialPage | Location found in results: Noida
2026-05-20 16:57:50 | INFO     | commercial_test | Commercial flow completed successfully for Noida
