2026-05-21 10:07:23 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 10:07:23 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-21 10:07:24 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-21 10:07:24 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-21 10:07:25 | INFO     | PropertyPage | Disclaimer popup closed
2026-05-21 10:07:25 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260521_100725.png
2026-05-21 10:07:25 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-21 10:07:25 | INFO     | PropertyPage | Download Brochure button found
2026-05-21 10:07:25 | INFO     | PropertyPage | Scrolled to Download Brochure button
2026-05-21 10:07:25 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-21 10:07:27 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260521_100725.png
2026-05-21 10:07:27 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-21 10:07:29 | INFO     | PropertyPage | Name field located successfully
2026-05-21 10:07:29 | INFO     | PropertyPage | Scrolled to name input field
2026-05-21 10:07:29 | INFO     | PropertyPage | Clicked name input field
2026-05-21 10:07:29 | INFO     | PropertyPage | Cleared existing name field value
2026-05-21 10:07:29 | INFO     | PropertyPage | Entered name into brochure form: Satyam Gangwar
2026-05-21 10:07:29 | INFO     | PropertyPage | Verified entered name successfully
2026-05-21 10:07:29 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_name_entered_in_brochure_form_20260521_100729.png
2026-05-21 10:07:40 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-21 10:07:40 | INFO     | pytest | Closing browser after complete test session
