2026-05-21 09:59:48 | INFO     | pytest | Starting browser: edge
2026-05-21 09:59:51 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 09:59:51 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 09:59:55 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 09:59:55 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 09:59:55 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 10:00:00 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-21 10:00:00 | INFO     | HomePage | Cookie confirmation accepted
2026-05-21 10:00:00 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 10:00:01 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260521_100000.png
2026-05-21 10:00:01 | INFO     | HomePage | Opening Commercial tab
2026-05-21 10:00:01 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 10:00:01 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 10:00:01 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-21 10:00:01 | INFO     | HomePage | Commercial tab opened successfully
2026-05-21 10:00:01 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260521_100001.png
2026-05-21 10:00:01 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-21 10:00:02 | INFO     | CommercialPage | Commercial search input found
2026-05-21 10:00:02 | INFO     | CommercialPage | Cleared commercial search input
2026-05-21 10:00:02 | INFO     | CommercialPage | Entered location: Noida
2026-05-21 10:00:03 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-21 10:00:03 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-21 10:00:11 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260521_100003.png
2026-05-21 10:00:11 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-21 10:00:11 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 10:00:11 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 10:00:11 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 10:00:11 | INFO     | PropertyPage | Trying to open fixed property: Ivory County
2026-05-21 10:00:11 | INFO     | PropertyPage | Waiting for property element to become clickable
2026-05-21 10:00:11 | INFO     | PropertyPage | Property element found
2026-05-21 10:00:11 | INFO     | PropertyPage | Scrolled to property element
2026-05-21 10:00:13 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_property.py_TestPropertyNavigation_test_click_property_and_open_child_page_property_case0_20260521_100012.png
