2026-05-20 23:30:46 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:30:46 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:30:48 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:30:48 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 23:30:48 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 23:30:52 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 23:30:52 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:30:53 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260520_233052.png
2026-05-20 23:30:53 | INFO     | HomePage | Opening Commercial tab
2026-05-20 23:30:53 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:30:53 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:30:53 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 23:30:53 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 23:30:53 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260520_233053.png
2026-05-20 23:30:53 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-20 23:30:54 | INFO     | CommercialPage | Commercial search input found
2026-05-20 23:30:54 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 23:30:54 | INFO     | CommercialPage | Entered location: Noida
2026-05-20 23:30:55 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 23:30:55 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 23:30:57 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260520_233055.png
2026-05-20 23:30:57 | INFO     | CommercialPage | Applying commercial filters
2026-05-20 23:30:57 | INFO     | CommercialPage | Trying to click: Verified filter selected
2026-05-20 23:30:57 | INFO     | CommercialPage | Verified filter selected
2026-05-20 23:30:59 | INFO     | CommercialPage | Trying to click: Budget minimum dropdown opened
2026-05-20 23:31:00 | INFO     | CommercialPage | Budget minimum dropdown opened
2026-05-20 23:31:03 | INFO     | CommercialPage | Trying to click: Minimum budget 10 Lac selected
2026-05-20 23:31:04 | INFO     | CommercialPage | Minimum budget 10 Lac selected
2026-05-20 23:31:06 | INFO     | CommercialPage | Trying to click: Budget maximum dropdown opened
2026-05-20 23:31:07 | INFO     | CommercialPage | Budget maximum dropdown opened
2026-05-20 23:31:09 | INFO     | CommercialPage | Trying to click: Maximum budget 50 Lac selected
2026-05-20 23:31:14 | INFO     | CommercialPage | Maximum budget 50 Lac selected skipped. Error: Message: 

2026-05-20 23:31:14 | INFO     | CommercialPage | Trying to click: Residential Apartment selected
2026-05-20 23:31:14 | INFO     | CommercialPage | Residential Apartment selected
2026-05-20 23:31:16 | INFO     | CommercialPage | Trying to click: Independent House/Villa selected
2026-05-20 23:31:17 | INFO     | CommercialPage | Independent House/Villa selected
2026-05-20 23:31:19 | INFO     | CommercialPage | Trying to click: 2 BHK selected
2026-05-20 23:31:25 | INFO     | CommercialPage | 2 BHK selected skipped. Error: Message: 

2026-05-20 23:31:25 | INFO     | CommercialPage | Trying to click: 3 BHK selected
2026-05-20 23:31:30 | INFO     | CommercialPage | 3 BHK selected skipped. Error: Message: 

2026-05-20 23:31:30 | INFO     | CommercialPage | Trying to click: Ready to move selected
2026-05-20 23:31:36 | INFO     | CommercialPage | Ready to move selected skipped. Error: Message: 

2026-05-20 23:31:36 | INFO     | CommercialPage | Trying to click: Under Construction selected
2026-05-20 23:31:41 | INFO     | CommercialPage | Under Construction selected skipped. Error: Message: 

2026-05-20 23:31:41 | INFO     | CommercialPage | Trying to click: Owner selected
2026-05-20 23:31:47 | INFO     | CommercialPage | Owner selected skipped. Error: Message: 

2026-05-20 23:31:47 | INFO     | CommercialPage | Trying to click: Central Noida selected
2026-05-20 23:31:47 | INFO     | CommercialPage | Central Noida selected
2026-05-20 23:31:49 | INFO     | CommercialPage | Trying to click: Sector 150 selected
2026-05-20 23:31:49 | INFO     | CommercialPage | Sector 150 selected
2026-05-20 23:31:51 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-20 23:31:51 | INFO     | CommercialPage | Commercial filters applied successfully
2026-05-20 23:31:52 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_commercial_filters_applied_20260520_233151.png
2026-05-20 23:31:52 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-20 23:31:52 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 23:32:02 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 23:32:02 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 23:32:02 | INFO     | CommercialPage | Validating location in results: Noida
2026-05-20 23:32:02 | INFO     | CommercialPage | Location found in results: Noida
2026-05-20 23:32:02 | INFO     | commercial_test | Commercial flow completed successfully for Noida
