2026-05-20 15:37:16 | INFO     | PropertyPage | PropertyPage initialized
2026-05-20 15:37:16 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-20 15:37:17 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-20 15:37:17 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-20 15:37:24 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-20 15:37:24 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-20 15:37:24 | INFO     | PropertyPage | Download Brochure button found
2026-05-20 15:37:24 | INFO     | PropertyPage | Scrolled to Download Brochure button
2026-05-20 15:37:24 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-20 15:37:24 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-20 15:37:26 | INFO     | PropertyPage | Name field located successfully
2026-05-20 15:37:26 | INFO     | PropertyPage | Scrolled to name input field
2026-05-20 15:37:26 | INFO     | PropertyPage | Clicked name input field
2026-05-20 15:37:26 | INFO     | PropertyPage | Cleared existing name field value
2026-05-20 15:37:26 | INFO     | PropertyPage | Entered name into brochure form: Satyam Gangwar
2026-05-20 15:37:26 | INFO     | PropertyPage | Verified entered name successfully
2026-05-20 15:37:36 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-20 15:37:36 | INFO     | pytest | Closing browser after complete test session
